key,title,doi,year,first_author,type,venue,decision,exclusion_criterion,justification,llm_base,adaptation_technique,fine_tuning_method,dataset,output_format,evaluation_method,personalization,educational_level,rq_coverage,key_findings
6IENL7KV,LightRAG-Enhanced Automated Question Generation System for Multi-Domain Educational Assessments,10.1109/WAIE67422.2025.11381179,2025,Magtibay,conferencePaper,"Int. Workshop Artif. Intell. Educ., WAIE",IN,,"Meets all inclusion criteria: published in 2025 (CI1), English (CI2), IEEE WAIE 2025 conference paper (CI3), uses LLM (GPT-4 via OpenAI API) for educational material generation, specifically MCQs (CI4), employs advanced RAG (LightRAG with graph-based text indexing and dual-level retrieval) as an LLM adaptation technique (CI5), and full text is available (CI6). Not a review or survey, not an editorial, not in the medical domain. The system generates multi-domain educational assessment questions aligned with Bloom's Taxonomy.",GPT-4,RAG (LightRAG: graph-based text indexing and dual-level retrieval with local and global keywords; Hybrid LightRAG vs. Naïve LightRAG),,"240 MCQs generated across two custom domains: Electronics Engineering (120) and Engineering Sciences (120), distributed across 4 topics each with 5 items per Bloom level; educational PDF documents (textbooks, lecture notes) uploaded by the user as a dynamic source","Multiple-choice questions (MCQs) with correct answer, distractors, and explanation; exported in DOCX format compatible with Canvas LMS","Binary rubric (0/1) on 5 criteria: accuracy, relevance, grammatical correctness, cognitive level alignment (Bloom's Taxonomy), diversity; evaluators: 3 human experts and 3 LLMs (ChatGPT, Gemini, DeepSeek)",partial,"Higher education (Electronics Engineering, Engineering Sciences; level not explicitly stated but university context at SP Jain School of Global Management)",RQ2; RQ3; RQ5; RQ6,"The Hybrid LightRAG model outperforms Naive LightRAG in accuracy (95% vs. 93% LLM; 94% vs. 91% human in EE) and diversity (100% vs. 94%), with 100% Bloom alignment in both models. LightRAG addresses the limitations of traditional RAG (contextual fragmentation, poor multi-domain adaptability) through knowledge graph indexing and dual retrieval (local+global keywords). The greatest advantage appears at the Application level (86% vs. 72%). Main limitation: numerical reasoning and multi-step computation. Future work targets symbolic reasoning, flashcard generation, automatic summaries, and pilot deployment in real environments."
792EJSHY,CogniLearn: Integrating AI-Powered Insights for Class 10 Syllabus,10.1109/ICCAI66501.2025.00077,2025,Bhoomika,conferencePaper,"Proc. - Int. Conf. Comput. Artif. Intell., ICCAI",IN,,"CogniLearn fine-tunes LLaMA-2 7B and Qwen 0.5B using LoRA and QLoRA combined with RAG and prompt engineering to generate exam-aligned question-answer pairs for Class 10 CBSE students, directly addressing CI1-CI5. The study evaluates output quality with BLEU, ROUGE, BERTScore, and cosine similarity, and contextualizes responses to specific syllabus topics, contributing to RQ2-RQ7.",LLaMA-2 7B; Qwen 0.5B,fine-tuning; LoRA; QLoRA; RAG; prompt engineering; few-shot learning; chain-of-thought prompting,"SFT with LoRA and QLoRA (4-bit quantization); LoRA rank 64, alpha 16, dropout 0.1; 4 epochs, batch size 4, lr 2e-4","Custom proprietary dataset of ~3,000 QA pairs from CBSE Class 10 Science, Social Studies, and English textbooks and past exam question papers","question-answering (short answer, MCQ, long answer)",BLEU; ROUGE; BERTScore; cosine similarity; Word Mover's Distance (WMD),partial,"Secondary school (Class 10, CBSE India)",RQ2; RQ3; RQ4; RQ5; RQ6; RQ7,Fine-tuning with LoRA/QLoRA improves smaller models (Qwen 0.5B) more than larger ones (LLaMA-2 7B); RAG consistently enhances both models; Qwen fine-tuned + RAG matches LLaMA-2 performance despite 14x fewer parameters; role-based and chain-of-thought prompt engineering further aligns responses to board exam standards.
8FRZSNZQ,Pedagogy-R1: Pedagogical Large Reasoning Model and Well-balanced Educational Benchmark,10.1145/3746252.3761133,2025,Lee,conferencePaper,CIKM - Proc. ACM Int. Conf. Info. Knowl. Manage.,IN,,"Meets all inclusion criteria: published in 2025 (CIKM), English, conference paper, proposes an LLM framework for authentic pedagogical tasks in education, uses fine-tuning by distillation (instruction tuning on DeepSeek-R1/QwQ-32B) with pedagogical filtering, and introduces a prompting strategy (Chain-of-Pedagogy). Not a review or survey, not in the medical domain, and the full text is available.",QwQ-32B; DeepSeek-R1-Distill-Qwen-1.5B; DeepSeek-R1-Distill-Qwen-7B,Distillation-based instruction tuning with pedagogical filtering (Pedagogical Reasoning) and Chain-of-Pedagogy (CoP) prompting,"Instruction tuning by distillation on filtered outputs of QwQ-32B as teacher model; pipeline: data generation, filtering by correctness (D_filtered), instruction tuning of small models (1.5B and 7B)","Well-balanced Educational Benchmark (WBEB): custom dataset built by the authors with 5 categories (Subject Knowledge, Pedagogical Knowledge, Knowledge Tracing, Automated Essay Scoring, Real-World Teacher Decision-Making); curated public and private data, some translated with GPT-4.1-mini","Pedagogical responses in natural language: formative feedback, step-by-step explanations, teacher decision-making, essay scoring (MCQA, Binary Classification, Open-ended scoring)","WBEB benchmark (5 dimensions); quantitative metrics: accuracy (ACC), AUC; qualitative analysis via Grounded Theory coding; comparison with base models, reasoning models (DeepSeek-R1 family, GPT-4.1, o4-mini), and models with standard instruction tuning",no,"K-12 and university (multiple levels depending on subdataset: elementary, middle, secondary, university)",RQ2; RQ3; RQ4; RQ6,"Pedagogy-R1 (1.5B and 7B) outperforms base models and general reasoning models on pedagogical tasks (PK, AES, DM) when combined with CoP prompting, demonstrating that domain-specific instruction tuning significantly improves educational reasoning. The 7B model with CoP achieves +31.34 points in DM over the base model. The CoP strategy, both in training data and at inference time, is key to eliciting coherent pedagogical judgements. The models remain below specialist performance on Knowledge Tracing (AUC)."
8FZ9N26M,YMCQ: Reasoning-Enhanced MCQ Generation,10.1007/978-3-031-98465-5_39,2025,Dutulescu,conferencePaper,"ARTIFICIAL INTELLIGENCE IN EDUCATION, AIED 2025, PT VI",IN,,"Paper presents YMCQ, a method for automated MCQ generation that fine-tunes an open-source LLM (Llama 3.1 8B-Instruct) on publicly available educational datasets augmented with synthetically generated reasoning explanations. Published 2025 (AIED 2025), English, conference paper. Directly applies LLM fine-tuning for didactic content generation (MCQs), meets CI1-CI6. Not a survey, not medical, not out-of-scope.",Llama 3.1 8B-Instruct,supervised fine-tuning with synthetic data augmentation (reasoning explanations); multi-step inference filtering pipeline,"full fine-tuning with mixed precision (bf16), AdamW-8bit optimizer, 1 epoch","SQuAD, HotpotQA, NarrativeQA, FairytaleQA, MCTest, RACE, EduGQ, augmented with synthetically generated reasoning explanations via Llama 3.1 70B (337,175 training / 27,164 validation examples)","MCQ (multiple-choice questions with distractors, reasoning explanations, and misconception-based distractors)","pairwise human evaluation by 5 annotators; Bradley-Terry model for ranking; comparison against GPT-4o (zero-shot), model without explanations, and human-authored questions; iSTART ITS K-12 dataset used for evaluation",no,K-12 (iSTART Intelligent Tutoring System dataset used for evaluation),RQ2; RQ3; RQ4; RQ5; RQ6,"Reasoning-enhanced fine-tuning of Llama 3.1 8B-Instruct improves MCQ and distractor quality over standard fine-tuning (without explanations). The method narrows the gap with human-authored questions and provides a cost-effective open-source alternative to GPT-4o. Multi-step filtering (entropy-based, similarity-based, factuality-checking) ensures validity and diversity of generated MCQs. Future work targets Direct Preference Optimization (DPO) to further align generation with human judgment."
96W86KW8,Enhancing Educational Content Through AI-Assisted Transformation of Video Transcriptions,10.1109/DEMOcon65705.2025.11282786,2025,Zabala,conferencePaper,"IEEE Digit. Educ. MOOCS Conf., DEMOcon",IN,,"Meets all inclusion criteria: published in 2025 (IEEE DEMOcon), English, conference paper, uses LLMs (GPT-4o, GPT-4o mini, Gemini 2.0 Flash, Llama 3.3 70B) to generate multi-format didactic material (class notes, summaries, SEO abstracts, MCQ questions) from video transcriptions. The core technique is iterative and refined prompt engineering (CI5). Full text available. Not a review or survey, not medical, not an editorial.",GPT-4o; GPT-4o mini; Gemini 2.0 Flash; Llama 3.3 70B,"prompt engineering (iterative prompt refinement, sequential multi-step prompting, token-based length control)",,"50,000+ educational videos from Universitat Politècnica de València (media.upv.es); transcriptions generated with WhisperX; 40 videos selected for comparative evaluation","detailed class notes, key-concept summaries, SEO-optimised abstracts, long-answer questions (paragraph-style), short-answer questions, MCQ questions with distractors",human evaluation by three evaluators (1-10 utility scale); comparative analysis across models; automatic quality filtering by keywords; cost-per-token metrics,no,university (higher education); institutional UPV repository with videos from university courses,RQ1; RQ3; RQ5; RQ6; RQ7,"Gemini 2.0 Flash showed the best overall performance in pedagogical material generation (notes, summaries, abstracts) with utility scores between 7.9-9.0, and was also the most cost-effective model (~0.10€/M input tokens). Generating convincing MCQ distractors was the main challenge, requiring a separate two-step prompt that raised the average score from 4.5 to 5.75. The system processed 51,403 videos producing over 1 million questions. Human review before deployment remains indispensable to ensure pedagogical quality."
9QH6N6K4,Automatic generation of introductory programming exercises with large language models,10.58459/rptel.2026.21025,2026,Ta,journalArticle,Research and Practice in Technology Enhanced Learning,IN,,"Journal article (2026) in English. Proposes ExGen, an automatic programming exercise generation system for introductory courses using LLMs (GPT-3.5 Turbo and GPT-4 Turbo) with prompting strategies (zero-shot and few-shot) and self-filtering mechanisms. The generated didactic material consists of Python programming exercises with differentiated difficulty levels (easy/intermediate/hard) adapted to the student's level. Meets CI1 (2026), CI2 (EN), CI3 (journalArticle), CI4 (LLM for educational material generation), CI5 (structured prompting), CI6 (full text available). Not a review/survey, not an editorial, not in a medical domain.",GPT-3.5 Turbo; GPT-4 Turbo,"Prompt engineering (zero-shot and few-shot prompting with keywords, difficulty levels, and example exercises as shots); self-filtering with code compilation, unit testing, and LLM-based difficulty classification",,"More than 1,400 Python exercises automatically generated and manually evaluated; seed exercise base from the university's introductory programming course","Python programming exercises (problem statement + reference solution + test cases) with three difficulty levels (easy, intermediate, hard)","Empirical assessment of the ready-to-use exercise rate (>1,400 exercises); manual inspection by human experts; automatic comparison against human decisions; cost and generation-time analysis between GPT-3.5 Turbo and GPT-4 Turbo",partial,University (introductory programming course for first-year computer science students),RQ2; RQ3; RQ5; RQ6,"ExGen generates ready-to-use Python exercises on demand for specific difficulty levels using few-shot prompting with keywords. The few-shot strategy is more precise than zero-shot. Self-filtering based on compilation, unit testing, and LLM classification reduces the need for manual inspection. GPT-4 Turbo outperforms GPT-3.5 Turbo on intermediate and hard exercises but is 20x more expensive and slower. Generating ready-to-use 'hard' exercises remains an open problem even with GPT-4 Turbo."
A2IPS39I,NOVA: A Retrieval-Augmented Generation Assistant in Spanish for Parallel Computing Education with Large Language Models,10.3390/app15158175,2025,León-Paredes,journalArticle,Applied Sciences (Switzerland),IN,,"Journal article (2025) in English presenting NOVA, an LLM+RAG-based educational virtual assistant for the Parallel Computing course at Universidad Politécnica Salesiana. The system uses GPT-4o mini with a Retrieval-Augmented Generation architecture and prompt engineering to generate Q&A, quizzes, and practical guides in Spanish. Fully meets CI1-CI6: original empirical paper, 2025, English, journal article, LLM applied to didactic content generation, RAG and prompting techniques, full text available. Not a review, not medical, not out-of-scope.",GPT-4o mini (OpenAI),"RAG (Retrieval-Augmented Generation) with vector database (Qdrant) for semantic retrieval + prompt engineering (prompt tuning, temperature control 0.2-0.35)",,"Curated domain-specific corpus: syllabus, practical exercises, class notes, and evaluations from the Parallel Computing course (4 units: CUDA, PyCUDA, message passing interface, clustering) at Universidad Politécnica Salesiana","Q&A (question-and-answer sessions), quizzes (MCQ-style), practical guides; conversational text responses in Spanish","Test suite of 100 academic tasks (55 Q&A prompts, 25 practical guides, 20 quizzes); metrics: excellence rating (92%), retrieval coverage (72%), average response time (21 s); qualitative rubric scoring by development team",partial,"University (undergraduate, Parallel Computing course)",RQ2; RQ3; RQ5; RQ6; RQ7; RQ8,"NOVA achieved 92% excellence rating and 72% retrieval coverage across 100 test tasks, demonstrating that RAG architectures combined with pedagogically aligned corpora and prompt engineering can produce reliable, curriculum-grounded instructional content. The system operates entirely in Spanish, addressing an equity gap for Latin American STEM learners. No fine-tuning of the base LLM was performed; knowledge specialization is achieved solely through RAG and prompt tuning. Identified gap: lack of controlled user studies with real students and limited corpus coverage (72% retrieval). Future work includes multimodal support, adaptive feedback, and open-source LLM exploration."
A93L4ZZS,"Language Models for Educational Question Generation: Practical Challenges, Personalization Opportunities, and Parameter Optimization",10.1007/978-3-031-98281-1_11,2026,Bernard,conferencePaper,"GENERATIVE SYSTEMS AND INTELLIGENT TUTORING SYSTEMS, ITS 2025, PT I",IN,,"Conference paper (2026, ITS 2025) in English that directly investigates LM-based educational question generation with fine-tuning of small language models (Gemma-7B, Gemma-7B-it) on course-specific data, systematic parameter optimization (granularity, scope, prompt style), and personalization via difficulty-level-matched question generation. Meets CI1-CI6.",Gemma-7B; Gemma-7B-it (Gemma-instruct-7B),"Fine-tuning (supervised fine-tuning on domain-specific course materials) + prompt engineering (7 prompt styles including roleplaying, LM-generated prompts vs. human-created prompts)","Supervised fine-tuning of small language models (SLMs <10B) on course-specific text data with varied granularity (page, paragraph, sentence) and scope (unit vs. course)","Custom dataset from an online software engineering course: SWEBOK textbook, scholarly papers, and web pages; manually cleaned and organized into page/paragraph/sentence granularities; no standard benchmark dataset used","Short-answer questions (open-ended) targeting specific difficulty levels (beginner, intermediate, advanced) aligned with Bloom's Taxonomy","Difficulty matching rate (61.5%-67.4%), relevance, and quality scores; 7 prompt styles x 10 prompts + 9 human-generated prompts per setting; 84 experimental settings compared; NLP metrics (Perplexity, BLEU, ROUGE, METEOR) referenced from prior work",partial,Higher education / online university course (software engineering),RQ2; RQ3; RQ4; RQ5; RQ6; RQ7,"Gemma-7B-it improved overall quality but struggled at beginner difficulty; sentence-level granularity with unit-only scope was optimal for training; roleplaying-style prompts produced best questions; LM-generated prompts outperformed human-created ones; prompt engineering was critical for LM control; considerable manual effort was needed to prepare domain-specific training data; difficulty-level personalization achieved only 61.5-67.4% accuracy, indicating room for improvement."
AR32MRQ3,LOOKALIKE: Consistent Distractor Generation in Math MCQs,,2025,Parikh,conferencePaper,"PROCEEDINGS OF THE 20TH WORKSHOP ON INNOVATIVE USE OF NLP FOR BUILDING EDUCATIONAL APPLICATIONS, BEA 2025",IN,,"Meets all inclusion criteria: conference paper (BEA 2025) from 2025 in English, applying SFT and DPO on MetaMath-Mistral 7B to generate consistent distractors for multiple-choice questions (MCQs) in mathematics for students aged 10-13. Uses fine-tuning techniques (SFT + DPO with alternating optimization) and generates educational didactic material (MCQ distractors with error explanations). Not a review/survey, not medical, full text available.",MetaMath-Mistral 7B,SFT + DPO (alternating optimization: supervised fine-tuning combined with Direct Preference Optimization using synthetic negative samples mined from model inconsistencies),SFT + DPO,"Real-world math MCQ dataset from a large learning platform (hundreds of thousands of students); 1,434 MCQs for ages 10-13 covering 41 math subtopics (Arithmetic, Fractions, Solving Equations); each MCQ includes question stem, key, topic tags, 3 distractors, and teacher-written error descriptions; split 72%-16%-12% (train/val/test)",MCQ distractors (incorrect answer options) and error explanations for math multiple-choice questions,"Exact match (distractor generation accuracy); LLM-as-a-Judge with GPT-4o-mini (error generation, mathematical equivalence); human evaluation with ordinal ratings by two independent annotators with teaching experience; inter-annotator agreement via quadratic-weighted Cohen's kappa",no,"K-12 (middle school, ages 10-13)",RQ2; RQ3; RQ4; RQ5; RQ6; RQ8,"LOOKALIKE improves error-distractor consistency in math MCQs through two innovations: (1) mining synthetic preference pairs from the model's own inconsistencies, and (2) alternating SFT/DPO optimization to stabilize training. It achieves 51.6% accuracy in distractor generation and 57.2% in error generation (LLM-as-Judge), outperforming the state-of-the-art DiVERT (45.6%/47.7%). Human evaluation confirms that LOOKALIKE generates more consistent errors (0.587 vs 0.400 for SFT). Limitations: inconsistent examples persist and generalization to unseen topics remains unexplored."
ASR77GBX,Using Old Lessons for New AI - A Trainer for Project Risk Management,10.1007/978-3-032-05607-8_16,2026,Patias,conferencePaper,"FLEXIBLE QUERY ANSWERING SYSTEMS, FQAS 2025",IN,,"The paper presents an empirical case study of a triples-based fine-tuning methodology (instruction-tuning and alignment-tuning) applied to LLMs using existing Project Risk Management course materials as training data for Intelligent Tutoring Systems and Adaptive Learning Platforms. It addresses fine-tuning techniques, educational content generation, and personalization, satisfying all inclusion criteria. No exclusion criteria apply: it is an original empirical contribution (not a review), in an educational domain (not medical), and directly employs LLMs.",,fine-tuning,SFT,Existing Project Risk Management (PRM) course training materials converted into prompt-input-output triples,adaptive tutoring responses / personalized learning content,human,yes,professional,RQ3; RQ4; RQ6; RQ7,"A triples-based (prompt-input-output) fine-tuning methodology reusing existing training materials improves LLM instruction-following and contextual understanding in ITS/ALP settings. The approach enables multi-dimensional personalization (project-wise and standard-wise) while highlighting challenges around data quality, overfitting, and prompt engineering complexity."
C53LLVUY,Enhancing Reading Comprehension: A Comparative Study of Models for Generating Questions in Children's Storybooks,10.1145/3726101.3726109,2025,Sattabun,conferencePaper,APIT - Asia Pac. Inf. Technol. Conf.,IN,,"Meets all inclusion criteria: (CI1) published in 2025 at APIT 2025; (CI2) in English; (CI3) conference paper (ACM); (CI4) uses LLMs to generate reading comprehension questions from children's stories, a direct educational application; (CI5) explicitly compares prompting (zero-shot, few-shot) and fine-tuning with LoRA on T5-base, Llama 2 7B, and Mistral 7B; (CI6) full text available. Not a review or survey, not in a medical domain.",T5-base; Llama 2 7B; Mistral 7B,"Prompting (zero-shot, few-shot) and fine-tuning with LoRA (PEFT)","LoRA (Low-Rank Adaptation) via PEFT; T5-base with Seq2SeqTrainer; Llama 2 7B and Mistral 7B with SFTTrainer (trl library); r=16, lora_alpha=64","FairytaleQA, 10,580 question-answer pairs derived from 278 children's stories from Project Gutenberg; kindergarten to 8th grade levels","Reading comprehension questions (free text, one question per narrative section)",ROUGE-L and BLEU-4 (comparison with human-written questions),no,Primary / early childhood education (kindergarten to 8th grade),RQ1; RQ2; RQ3; RQ5,"Fine-tuning with LoRA outperforms zero-shot and few-shot prompting in question quality. The best model is fine-tuned Mistral 7B: ROUGE-L=0.58, BLEU-4=0.39. T5-base is the fastest but produces lower-quality questions. Prompting is simpler to deploy but yields inferior results. PEFT with LoRA reduces computational costs compared to full fine-tuning."
CQ544BAK,An Adaptable Client-Server Architecture for Generating Educational Content using Large Language Models,,2025,Morland,journalArticle,BULLETIN OF THE TECHNICAL COMMITTEE ON LEARNING TECHNOLOGY,IN,,"Journal article (2025) in English presenting a client-server architecture for automated educational content generation using LLMs (OpenAI GPT models). Directly addresses CI4 (LLM for didactic content) and CI5 (RAG + prompt engineering). The system generates MCQs, instructional materials, and adaptive learning resources, aligning with RQ2, RQ3, RQ5, RQ6, and RQ7. Full text available.","OpenAI GPT (gpt-4o-mini mentioned explicitly); LangChain-orchestrated multi-provider support (Anthropic Claude, Mistral, Vertex AI, AWS)","RAG + prompt engineering (structured prompt templates with QVC, zero-shot / one-shot / multi-shot prompting, critic-based iterative refinement, human-AI interaction loop)",,"Instructor-uploaded course materials (textbooks, lecture notes, supplementary files) embedded in MongoDB Atlas Vector Search; structured course models (courses, units, learning objectives)","MCQs (standard, fill-in-the-blank, sentence-completion, true/false), instructional explanations, tutorials, concept explanations, formative assessments, formatted as JSON","Research use-case studies (QuizGen, QuizMaster, EMGen): expert subject-matter rating of question quality; preliminary comparison of zero-shot vs. two-round critic vs. multi-round iterative prompting strategies; no statistically significant differences found in preliminary results; human instructor validation interface (HAI)",partial,Higher education (university-level courses; Athabasca University context); system designed for any educational level,RQ2; RQ3; RQ5; RQ6; RQ7,"A modular, adaptable client-server architecture (Next.js + Node.js + MongoDB + LangChain) integrates RAG and structured prompt engineering to generate pedagogically aligned educational content (MCQs, explanations, assessments). Three research applications (QuizGen, QuizMaster, EMGen) demonstrate the framework. Structured QVC-driven prompting with iterative critic refinement improves alignment with learning objectives; preliminary results show expert-rated quality is favorable but no statistically significant quality differences across prompting strategies. The system supports personalization via student models and adaptive frameworks, enabling instructors to iteratively refine AI-generated materials. Future work targets RLHF, knowledge graphs, and domain-specific fine-tuning."
D79JQ3W8,QUIZ-TUBE: ENHANCING VIDEO-BASED LEARNING WITH AUTOMATED AI QUIZ GENERATION,10.5935/jetia.v11i54.1743,2025,Thakur,journalArticle,Journal of Engineering and Technology for Industrial Applications,IN,,"Meets all inclusion criteria: published in 2025 (CI1), in English (CI2), peer-reviewed journal article in ITEGAM-JETIA (CI3), applies an LLM (Gemma-9B) to generate interactive didactic material, specifically MCQ quizzes, from YouTube educational videos (CI4), employs fine-tuning (LoRA/PEFT on Gemma-9B) and RAG as adaptation techniques (CI5), and full text is available (CI6). Not a systematic review, not an editorial, not in a medical domain.",Gemma-9B,"Fine-tuning (LoRA / PEFT) + RAG (Retrieval-Augmented Generation) applied to Gemma-9B on a dataset of 1,000 educational video transcripts",LoRA (Low-Rank Adaptation) within the PEFT framework; ReFT (Representation Fine-Tuning / LoReFT) also explored,"1,000 transcripts from YouTube educational videos, augmented with synthetic question-answer pairs generated with Gemini-1.5-flash","Multiple-choice questions (MCQ) with three difficulty levels (easy, medium, hard) in interactive web quiz format","BLEU score, ROUGE-L, and Accuracy (pre/post fine-tuning comparison): BLEU 45.3 to 68.7, ROUGE-L 57.2 to 74.8, Accuracy 64.5% to 81.9%",yes,General / multi-level (platform designed for online education accessible across different educational levels),RQ1; RQ2; RQ3; RQ4; RQ5,"Quiz-Tube converts YouTube educational videos into interactive MCQ quizzes through a pipeline that extracts transcripts (YouTube Transcript API or ASR), builds a knowledge graph (TF-IDF, NER, entity linking), and generates questions with Gemma-9B fine-tuned with LoRA. Fine-tuning on 1,000 educational transcripts improves BLEU from 45.3 to 68.7 and accuracy from 64.5% to 81.9%. The system adapts quiz difficulty to the user's performance history (adaptive learning mechanism) and allows personalization by number of questions, difficulty level, and topic focus."
DCHR86CR,Fine-Tuning Lightweight LLMs With Human-Curated Data on Electrical Circuit Fundamentals for E-Learning,10.1002/cae.70176,2026,Rocha,journalArticle,Computer Applications in Engineering Education,IN,,"Meets all inclusion criteria: published in 2026 (CI1), in English (CI2), journal article in Computer Applications in Engineering Education (CI3), applies LLMs to didactic content generation for e-learning in electrical engineering (CI4), uses PEFT/QLoLA as the adaptation technique with a human-curated dataset (CI5), and full text is available (CI6). No exclusion criterion applies: not an editorial or review/survey, not in a medical domain, and LLMs are the core of the work.",Meta Llama 3.2 1B; Meta Llama 3.1 8B; GPT-4.5 (commercial reference),"Parameter-Efficient Fine-Tuning (PEFT) via QLoRA (Quantized Low-Rank Adaptation); bilingual (Portuguese-English) question-answer dataset on electrical circuit fundamentals, manually curated from official course materials and distilled with GPT-4o",QLoRA (Quantized Low-Rank Adaptation) with 4-bit NormalFloat quantization (NF4) on a consumer-grade GPU (RTX 3090); full training pipeline completed in under 7 minutes,"Bilingual (PT-EN) dataset curated by humans from official pedagogical materials of the FEELE course (Fundamentals of Electrotechnical Engineering, ISEP Porto); QA pairs generated with GPT-4o with a pedagogical focus (error taxonomy based on 260 real student exams)",Text answers to circuit analysis questions (QA tutoring); pedagogically structured free-text format,"Blind study with 77 first-year engineering students evaluating answers on a 5-point Likert scale (5 dimensions: correctness, clarity, learning value, relevance, writing style); cross-evaluation by 12 senior instructors; comparison against GPT-4.5 as SOTA baseline",partial,"First-year undergraduate education (Electrical and Computer Engineering, ECE)",RQ1; RQ2; RQ3; RQ4; RQ5; RQ6,"Llama models fine-tuned with QLoRA (1B and 8B) score within one Likert point of the commercial model GPT-4.5 across the 5 quality dimensions evaluated by students; the 8B model is consistently preferred over the non-fine-tuned versions in clarity and task coverage; the full pipeline (data + training + inference) is feasible on low-cost consumer hardware (RTX 3090 GPU), demonstrating that lightweight open-source LLMs fine-tuned on human-curated data can replace costly commercial solutions in engineering e-learning tutoring."
DMQ799B5,"Advancing AI in Higher Education: A Comparative Study of Large Language Model-Based Agents for Exam Question Generation, Improvement, and Evaluation",10.3390/a18030144,2025,Nikolovski,journalArticle,Algorithms,IN,,"Meets all inclusion criteria: published in 2025 (CI1), in English (CI2), journal article in Algorithms/MDPI (CI3), uses LLMs for educational tasks of exam question generation and evaluation in higher education (CI4), explicitly applies supervised fine-tuning (Meta-Llama-3.1-8B), VectorRAG, and VectorGraphRAG as adaptation techniques (CI5), and full text is available (CI6). Not a survey or systematic review but an original comparative empirical study. Does not cover a medical domain and is not an editorial.",Meta-Llama-3.1-8B (fine-tuned); GPT-4o (meta-evaluator); Gemini 2.0 (reference),Supervised fine-tuning on a corpus of teaching materials from university courses; vector RAG (VectorRAG with Qdrant); knowledge-graph RAG (VectorGraphRAG with Neo4j and mGTE embeddings); structured multi-step and single-step prompting for the agents,"Supervised fine-tuning of Meta-Llama-3.1-8B on a dataset distilled from 4 university courses (vlada22/Meta-Llama-3.1-8B-Instruct-finki-edu-5c and finki-edu-4courses, available on HuggingFace)","Curated teaching materials (lecture notes, summaries, slides) from 4 university courses at the Faculty of Computer Science of Ss. Cyril and Methodius University (Skopje): 2 theory-oriented and 2 application-oriented; bank of 1,803 exam questions balanced by category (ABQ, CEQ, KBQ) and design (single-step, multi-step); 100 new questions for validation under real conditions","Free-text exam questions (open-ended and extended-response), with numerical alignment, clarity, difficulty, and originality scores plus textual justifications (dual grading system)",Automated meta-evaluator (LLM) supervised by human experts (Meta_auto + Meta_human); mixed-effects regression models to quantify agent performance; bias analysis (over/under-grading); real-world validation with 100 new questions comparing agent scores against human expert ratings (p ≈ 0.12),no,"Higher education (undergraduate); computer science and engineering courses (data warehousing, operating systems, web design, statistics)",RQ1; RQ2; RQ3; RQ5; RQ6; RQ7,No agent is universally optimal: the fine-tuned LLM excels at multi-step theoretical tasks requiring deep reasoning; VectorRAG outperforms on applied tasks with concrete references; VectorGraphRAG is more effective in multi-topic or multi-hop contexts. The dual scoring system (numerical scores plus textual justifications) improves bias detection and transparency. The fine-tuned LLM systematically overestimates its own performance by +1 to +1.5 points relative to the human ground truth. Validation with 100 new real questions confirms that a well-calibrated framework does not diverge significantly from expert assessment. Partial human supervision remains essential for high-stakes scenarios.
ERTRGPGV,"Design, Development, and Evaluation of an Intelligent Generation System for Contextualized Primary School Science Test Questions",10.1109/ICETM67477.2025.11413584,2025,Yang,conferencePaper,"Int. Conf. Educ. Technol. Manag., ICETM",IN,,"Meets all inclusion criteria: published in 2025 (CI1), in English (CI2), IEEE conference article (CI3), applies LLMs (GPT-4o + Kling AI 2.1) to generate contextualized science didactic material for primary education (CI4), uses dual-channel RAG and structured BRTE prompting with an iterative generate-evaluate-refine loop (CI5), full text available (CI6). Not an editorial, systematic review, or medical-scope article.",GPT-4o; Kling AI 2.1,Dual-Channel RAG (unstructured context + structured scientific knowledge) + Structured Prompting (BRTE: Background-Role-Task-Example) + Iterative Generate-Evaluate-Refine loop + Chain of Thought (CoT),,"Textbooks from People's Education Press and Daxiang Press (grades 3-6), manually compiled knowledge framework, contextualized teaching cases and sample questions, dataset built for dual-channel RAG knowledge base","Multimodal contextualized test questions (plain text, text+images, text+tables, text+images+tables) for primary school science","Expert blind evaluation (3 experienced researchers) using a 4-dimension 13-indicator rubric (Scenario Quality, Question Quality, Knowledge & Skill Depth, Inquiry Level), 5-point Likert scale, Cronbach's Alpha reliability (α=0.936), ANOVA comparison vs. regional exam questions and PISA/TIMSS international assessments",no,"Primary school (grades 3-6, ~ages 8-12), science subject",RQ1; RQ2; RQ3; RQ5; RQ6,"SciQ-Gen, the proposed system, generated contextualized science test questions that significantly outperformed regional exam questions on Knowledge & Skill Depth (M=8.98) and Inquiry Level (M=11.69), and reached near-parity with international PISA/TIMSS assessments on Scenario Quality and Question Quality. The dual-channel RAG architecture effectively separates contextual richness from scientific rigor. The iterative generate-evaluate-refine loop substantially improves output quality. The 4-dimension evaluation framework (Cronbach's α=0.936) provides a validated, replicable standard for automated educational content quality assessment."
